target_id,comparator_id,outcome_id,analysis_id,rr,ci_95_lb,ci_95_ub,p,i_2,log_rr,se_log_rr,target_subjects,comparator_subjects,target_days,comparator_days,target_outcomes,comparator_outcomes,calibrated_p,calibrated_rr,calibrated_ci_95_lb,calibrated_ci_95_ub,calibrated_log_rr,calibrated_se_log_rr,database_id
16733,16738,16743,3,0.914065260433004,0.792455040385524,1.04983505867074,0.210452921502727,NA,-0.0898533091655277,0.0717494232758697,1186,5047,8466,32788,238,1077,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16733,16738,4166231,3,0.294250941780566,NA,28.0964500053197,NA,NA,-1.22332233223322,NA,1186,5047,9949,40158,0,-5,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16733,16738,78524,3,NA,NA,NA,NA,NA,NA,NA,1186,5047,9949,40158,0,0,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16733,16738,4213540,3,NA,NA,NA,NA,NA,NA,NA,1186,5047,9949,40158,0,0,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16733,16738,4080762,3,NA,NA,NA,NA,NA,NA,NA,1186,5047,9949,40158,0,0,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16733,16738,80502,3,NA,NA,NA,NA,NA,NA,NA,1186,5047,9948,40158,-5,0,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16733,16738,4295261,3,NA,NA,NA,NA,NA,NA,NA,1186,5047,9949,40158,0,0,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16733,16738,433736,3,2.21145405054068,0.575396765969423,7.37989857304768,0.222721088180986,NA,0.793650240602219,0.650893425472509,1186,5047,9927,40126,-5,7,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16733,16739,16741,1,1.14354879146489,0.940955282539793,1.38725323310654,0.175570375277329,NA,0.134136402101154,0.0990286978759656,1527,1855,12337,16752,196,282,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16733,16739,79917,1,NA,NA,NA,NA,NA,NA,NA,1527,1855,12337,16757,0,0,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16733,16739,4080762,1,NA,NA,NA,NA,NA,NA,NA,1527,1855,12337,16757,0,0,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16733,16739,16743,1,1.12795093033317,0.962213813512687,1.32084732847353,0.136266090638518,NA,0.120402650651963,0.0808157808794945,1527,1855,10443,14100,298,410,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16733,16739,433736,1,3.09021485997154,0.497058889244131,26.0390849079542,0.263906306708156,NA,1.12824062246365,1.0098770887232,1527,1855,12315,16747,-5,-5,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16733,16739,4166231,1,NA,NA,NA,NA,NA,NA,NA,1527,1855,12337,16757,0,0,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16733,16739,4295261,1,NA,NA,NA,NA,NA,NA,NA,1527,1855,12337,16757,0,0,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16733,16739,78524,1,NA,NA,NA,NA,NA,NA,NA,1527,1855,12337,16757,0,0,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16733,16739,80502,1,NA,NA,NA,NA,NA,NA,NA,1527,1855,12336,16757,-5,0,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16733,16739,432867,1,1.61842645822261,0.367333750777517,8.38132830377469,0.546213188106556,NA,0.481454355120495,0.797843959615029,1527,1855,12290,16739,5,-5,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16733,16739,140673,1,3.30252688906493,0.3067666248411,72.5437382257953,0.391561122987472,NA,1.19468789941448,1.39437706740853,1527,1855,12306,16746,-5,-5,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16733,16739,438120,1,NA,NA,NA,NA,NA,NA,NA,1527,1855,12337,16757,0,0,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16733,16739,4213540,1,NA,NA,NA,NA,NA,NA,NA,1527,1855,12337,16757,0,0,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16733,16739,4209423,1,NA,NA,NA,NA,NA,NA,NA,1527,1855,12337,16757,0,0,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16733,16739,435243,1,NA,NA,NA,NA,NA,NA,NA,1527,1855,12337,16757,0,0,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16733,16739,16743,2,1.09454886087477,0.913068466995924,1.31288391352304,0.329500297920807,NA,0.0903422791723496,0.0926472606343541,1127,1127,8241,8142,246,221,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16733,16739,79917,2,NA,NA,NA,NA,NA,NA,NA,1127,1127,9787,9531,0,0,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16733,16739,78524,2,NA,NA,NA,NA,NA,NA,NA,1127,1127,9787,9531,0,0,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16733,16739,435243,2,NA,NA,NA,NA,NA,NA,NA,1127,1127,9787,9531,0,0,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16733,16739,433736,2,1.48172670823279,0.245349376500035,11.2578228967352,0.687060724136188,NA,0.39320810246848,0.976072862432512,1127,1127,9773,9521,-5,-5,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16733,16739,438120,2,NA,NA,NA,NA,NA,NA,NA,1127,1127,9787,9531,0,0,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16733,16739,4166231,2,NA,NA,NA,NA,NA,NA,NA,1127,1127,9787,9531,0,0,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16733,16739,16741,2,1.0219856459443,0.821975253035509,1.27132825743356,0.845020449981407,NA,0.0217474466185911,0.111253885157502,1127,1127,9787,9526,168,157,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16733,16739,432867,2,1.96963387972404,0.384150892242998,14.2126048487297,0.461810060483856,NA,0.677847677622225,0.92115189865214,1127,1127,9743,9513,-5,-5,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16733,16739,4213540,2,NA,NA,NA,NA,NA,NA,NA,1127,1127,9787,9531,0,0,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16733,16739,140673,2,1.977986169806,0.189141539582812,42.5891766936568,0.621596591189877,NA,0.682079241166975,1.38187738474142,1127,1127,9756,9520,-5,-5,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16733,16739,4080762,2,NA,NA,NA,NA,NA,NA,NA,1127,1127,9787,9531,0,0,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16733,16739,4209423,2,NA,NA,NA,NA,NA,NA,NA,1127,1127,9787,9531,0,0,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16733,16739,4295261,2,NA,NA,NA,NA,NA,NA,NA,1127,1127,9787,9531,0,0,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16733,16739,80502,2,NA,NA,NA,NA,NA,NA,NA,1127,1127,9786,9531,-5,0,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16733,16739,79917,3,NA,NA,NA,NA,NA,NA,NA,1527,1855,12337,16757,0,0,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16733,16739,433736,3,2.8908188410642,0.56162154089371,20.9178985612381,0.250030324737349,NA,1.06153979800065,0.922856818343615,1527,1855,12315,16747,-5,-5,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16733,16739,78524,3,NA,NA,NA,NA,NA,NA,NA,1527,1855,12337,16757,0,0,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16733,16739,16743,3,0.943363295489861,0.811937834924782,1.09479936315025,0.444498177571525,NA,-0.0583038155139791,0.0762520685490411,1527,1855,10443,14100,298,410,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16733,16739,4213540,3,NA,NA,NA,NA,NA,NA,NA,1527,1855,12337,16757,0,0,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16733,16739,16741,3,0.960820115403248,0.799657568165768,1.15216692043885,0.667934693215943,NA,-0.0399680723372184,0.0931690922931488,1527,1855,12337,16752,196,282,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16733,16739,435243,3,NA,NA,NA,NA,NA,NA,NA,1527,1855,12337,16757,0,0,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16733,16739,80502,3,NA,NA,NA,NA,NA,NA,NA,1527,1855,12336,16757,-5,0,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16733,16739,4295261,3,NA,NA,NA,NA,NA,NA,NA,1527,1855,12337,16757,0,0,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16733,16739,4166231,3,NA,NA,NA,NA,NA,NA,NA,1527,1855,12337,16757,0,0,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16733,16739,4080762,3,NA,NA,NA,NA,NA,NA,NA,1527,1855,12337,16757,0,0,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16733,16739,438120,3,NA,NA,NA,NA,NA,NA,NA,1527,1855,12337,16757,0,0,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16733,16739,140673,3,2.94079258684935,0.279753755387656,63.5312155677199,0.435765207154918,NA,1.07867913238217,1.38405014567739,1527,1855,12306,16746,-5,-5,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16733,16739,432867,3,2.38729903218781,0.584073260480772,11.6657170296558,0.254651303666065,NA,0.870162614829964,0.763887309578767,1527,1855,12290,16739,5,-5,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16733,16739,4209423,3,NA,NA,NA,NA,NA,NA,NA,1527,1855,12337,16757,0,0,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16761,16762,16741,1,1.28236328629165,0.836859858047651,1.94704341191949,0.248279539876995,NA,0.248704692997943,0.215414845827215,316,639,3279,6915,43,66,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16761,16762,433736,1,0.571598999945889,0.0264944916739265,4.560392055954,0.670201275152685,NA,-0.559317582497778,1.31334735397674,316,639,3276,6852,-5,-5,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16761,16762,80502,1,0.260584632371953,NA,18.6728076221679,NA,NA,-1.3448275862069,NA,316,639,3279,6916,0,-5,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16761,16762,16743,1,1.13386445808081,0.815197175326572,1.56506836241164,0.450235406139283,NA,0.125631672659891,0.166394579778362,316,639,2710,5792,67,124,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16761,16762,140673,1,NA,NA,NA,NA,NA,NA,NA,316,639,3278,6917,-5,0,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16761,16762,435243,1,NA,NA,NA,NA,NA,NA,NA,316,639,3279,6917,0,0,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16761,16762,78524,1,NA,NA,NA,NA,NA,NA,NA,316,639,3279,6917,0,0,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16761,16762,4295261,1,NA,NA,NA,NA,NA,NA,NA,316,639,3279,6917,0,0,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16761,16762,4080762,1,NA,NA,NA,NA,NA,NA,NA,316,639,3279,6917,0,0,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16761,16762,438120,1,NA,NA,NA,NA,NA,NA,NA,316,639,3277,6917,-5,0,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16761,16762,79917,1,NA,NA,NA,NA,NA,NA,NA,316,639,3279,6917,0,0,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16761,16762,4213540,1,NA,NA,NA,NA,NA,NA,NA,316,639,3279,6917,0,0,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16761,16762,432867,1,NA,NA,NA,NA,NA,NA,NA,316,639,3279,6917,0,0,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16761,16762,4166231,1,NA,NA,NA,NA,NA,NA,NA,316,639,3279,6917,0,0,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16761,16762,4209423,1,NA,NA,NA,NA,NA,NA,NA,316,639,3279,6917,0,0,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16761,16762,140673,2,NA,NA,NA,NA,NA,NA,NA,273,273,2854,2799,-5,0,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16761,16762,16743,2,1.35337919227939,0.916415825329845,2.01265370015414,0.131624332293044,NA,0.302604570292145,0.200702453177564,273,273,2393,2484,58,44,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16761,16762,78524,2,NA,NA,NA,NA,NA,NA,NA,273,273,2855,2799,0,0,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16761,16762,16741,2,1.46115207291713,0.901539033826831,2.40582782710545,0.129903173653904,NA,0.379225215590726,0.250398987290008,273,273,2855,2797,40,27,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16761,16762,80502,2,NA,NA,NA,NA,NA,NA,NA,273,273,2855,2799,0,0,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16761,16762,433736,2,0.985400676249826,0.0390064505619983,24.893690114415,0.992878138473549,NA,-0.0147069426031517,1.6476431864938,273,273,2852,2776,-5,-5,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16761,16762,4166231,2,NA,NA,NA,NA,NA,NA,NA,273,273,2855,2799,0,0,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16761,16762,438120,2,NA,NA,NA,NA,NA,NA,NA,273,273,2855,2799,0,0,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16761,16762,4080762,2,NA,NA,NA,NA,NA,NA,NA,273,273,2855,2799,0,0,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16761,16762,4209423,2,NA,NA,NA,NA,NA,NA,NA,273,273,2855,2799,0,0,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16761,16762,432867,2,NA,NA,NA,NA,NA,NA,NA,273,273,2855,2799,0,0,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16761,16762,79917,2,NA,NA,NA,NA,NA,NA,NA,273,273,2855,2799,0,0,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16761,16762,4295261,2,NA,NA,NA,NA,NA,NA,NA,273,273,2855,2799,0,0,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16761,16762,435243,2,NA,NA,NA,NA,NA,NA,NA,273,273,2855,2799,0,0,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16761,16762,4213540,2,NA,NA,NA,NA,NA,NA,NA,273,273,2855,2799,0,0,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16761,16762,16743,3,1.13475032329059,0.838833955414954,1.52169654448362,0.40539416341876,NA,0.126412647254671,0.151933495881447,316,639,2710,5792,67,124,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16761,16762,140673,3,NA,NA,NA,NA,NA,NA,NA,316,639,3278,6917,-5,0,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16761,16762,16741,3,1.39521951454225,0.944032755482434,2.04064881106598,0.0903396745481753,NA,0.333051760988647,0.196652138214183,316,639,3279,6915,43,66,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16761,16762,4080762,3,NA,NA,NA,NA,NA,NA,NA,316,639,3279,6917,0,0,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16761,16762,80502,3,0.234809767693318,NA,14.5795866137083,NA,NA,-1.44897959183673,NA,316,639,3279,6916,0,-5,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16761,16762,433736,3,0.537209823983392,0.0274723742310401,3.63327118130337,0.618032824660804,NA,-0.62136652711495,1.24612181283323,316,639,3276,6852,-5,-5,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16761,16762,4213540,3,NA,NA,NA,NA,NA,NA,NA,316,639,3279,6917,0,0,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16761,16762,4166231,3,NA,NA,NA,NA,NA,NA,NA,316,639,3279,6917,0,0,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16761,16762,4295261,3,NA,NA,NA,NA,NA,NA,NA,316,639,3279,6917,0,0,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16761,16762,435243,3,NA,NA,NA,NA,NA,NA,NA,316,639,3279,6917,0,0,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16761,16762,4209423,3,NA,NA,NA,NA,NA,NA,NA,316,639,3279,6917,0,0,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16761,16762,78524,3,NA,NA,NA,NA,NA,NA,NA,316,639,3279,6917,0,0,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16761,16762,438120,3,NA,NA,NA,NA,NA,NA,NA,316,639,3277,6917,-5,0,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16761,16762,79917,3,NA,NA,NA,NA,NA,NA,NA,316,639,3279,6917,0,0,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
16761,16762,432867,3,NA,NA,NA,NA,NA,NA,NA,316,639,3279,6917,0,0,NA,NA,NA,NA,NA,NA,cdm_premier_covid_v1240
