database_id,target_id,comparator_id,analysis_id,covariate_id,coefficient
cdm_premier_covid_v1240,16733,16736,1,0,-2.501357916366808
cdm_premier_covid_v1240,16733,16736,1,201340212,0.9761631154311088
cdm_premier_covid_v1240,16733,16736,1,200219212,0.5056528160614296
cdm_premier_covid_v1240,16733,16736,1,441408212,0.43082805324538953
cdm_premier_covid_v1240,16733,16736,1,440029212,-0.40440389453522896
cdm_premier_covid_v1240,16733,16736,1,4144111212,0.33609536229205067
cdm_premier_covid_v1240,16733,16736,1,4190185212,0.3151351404753172
cdm_premier_covid_v1240,16733,16736,1,17003,-0.2917707622819352
cdm_premier_covid_v1240,16733,16736,1,4291005212,-0.277771971724155
cdm_premier_covid_v1240,16733,16736,1,4116811212,0.276048427858099
cdm_premier_covid_v1240,16733,16736,1,436073212,-0.24237554755105595
cdm_premier_covid_v1240,16733,16736,1,133729212,0.22279560705892626
cdm_premier_covid_v1240,16733,16736,1,441829212,-0.20800307061705514
cdm_premier_covid_v1240,16733,16736,1,437833212,0.2058321214892448
cdm_premier_covid_v1240,16733,16736,1,437390212,-0.19062313626194052
cdm_premier_covid_v1240,16733,16736,1,16003,-0.1895800905564087
cdm_premier_covid_v1240,16733,16736,1,256451212,0.16616373711628676
cdm_premier_covid_v1240,16733,16736,1,4034964212,0.16452282995098075
cdm_premier_covid_v1240,16733,16736,1,261880212,0.15511950355715345
cdm_premier_covid_v1240,16733,16736,1,433595212,0.14806154141759034
cdm_premier_covid_v1240,16733,16736,1,6003,0.14714203320079164
cdm_premier_covid_v1240,16733,16736,1,42537748212,0.14683799662056157
cdm_premier_covid_v1240,16733,16736,1,31967212,0.1425289802145803
cdm_premier_covid_v1240,16733,16736,1,318800212,0.14140454720222512
cdm_premier_covid_v1240,16733,16736,1,374888212,-0.13560588565671566
cdm_premier_covid_v1240,16733,16736,1,4207184212,-0.13460522444862466
cdm_premier_covid_v1240,16733,16736,1,8003,0.12790646499261332
cdm_premier_covid_v1240,16733,16736,1,194087212,-0.1243483419600924
cdm_premier_covid_v1240,16733,16736,1,436096212,-0.12290217593619698
cdm_premier_covid_v1240,16733,16736,1,4132314212,-0.12288934477003005
cdm_premier_covid_v1240,16733,16736,1,377091212,0.11934873858039537
cdm_premier_covid_v1240,16733,16736,1,4158346212,-0.11699154114535824
cdm_premier_covid_v1240,16733,16736,1,444100212,0.11130310536151569
cdm_premier_covid_v1240,16733,16736,1,4301699212,0.11078761124681562
cdm_premier_covid_v1240,16733,16736,1,4060556212,0.10800141848624654
cdm_premier_covid_v1240,16733,16736,1,376686212,-0.10690562774940483
cdm_premier_covid_v1240,16733,16736,1,81902212,0.10483004763338322
cdm_premier_covid_v1240,16733,16736,1,37016349212,-0.10158927087412145
cdm_premier_covid_v1240,16733,16736,1,4092879212,0.09988625122723768
cdm_premier_covid_v1240,16733,16736,1,44784217212,0.09820683839641475
cdm_premier_covid_v1240,16733,16736,1,18003,-0.09565258393427027
cdm_premier_covid_v1240,16733,16736,1,4192640212,0.09467807960489814
cdm_premier_covid_v1240,16733,16736,1,372654212,0.09465204226192833
cdm_premier_covid_v1240,16733,16736,1,376961212,-0.0916979042311581
cdm_premier_covid_v1240,16733,16736,1,4145825212,-0.09089922903713916
cdm_premier_covid_v1240,16733,16736,1,435515212,0.08855704888076413
cdm_premier_covid_v1240,16733,16736,1,433736212,0.07855383680130403
cdm_premier_covid_v1240,16733,16736,1,4242411212,-0.0772926990195062
cdm_premier_covid_v1240,16733,16736,1,46270151212,0.0698740153277544
cdm_premier_covid_v1240,16733,16736,1,435517212,-0.06963345967906183
cdm_premier_covid_v1240,16733,16736,1,37311061212,0.06770148897005003
cdm_premier_covid_v1240,16733,16736,1,4008576212,0.06755668696981774
cdm_premier_covid_v1240,16733,16736,1,5003,0.06721577750880671
cdm_premier_covid_v1240,16733,16736,1,4029269212,-0.06432957626256137
cdm_premier_covid_v1240,16733,16736,1,4256228212,-0.06394425591032388
cdm_premier_covid_v1240,16733,16736,1,4004672212,-0.06328970555685863
cdm_premier_covid_v1240,16733,16736,1,444031212,-0.062237757735469246
cdm_premier_covid_v1240,16733,16736,1,4344497212,0.05833907200219946
cdm_premier_covid_v1240,16733,16736,1,80502212,-0.05800201591762347
cdm_premier_covid_v1240,16733,16736,1,438730212,-0.05794083378535897
cdm_premier_covid_v1240,16733,16736,1,435796212,0.05454219087625468
cdm_premier_covid_v1240,16733,16736,1,441542212,0.05363058608985574
cdm_premier_covid_v1240,16733,16736,1,4063381212,0.05229837122638314
cdm_premier_covid_v1240,16733,16736,1,439392212,0.049889328385474836
cdm_premier_covid_v1240,16733,16736,1,201820212,0.04920020811405345
cdm_premier_covid_v1240,16733,16736,1,443601212,0.046069093297017805
cdm_premier_covid_v1240,16733,16736,1,4112341212,-0.04479717024219897
cdm_premier_covid_v1240,16733,16736,1,442588212,-0.04475892571077769
cdm_premier_covid_v1240,16733,16736,1,4185932212,-0.044542667825057114
cdm_premier_covid_v1240,16733,16736,1,4093780212,0.04369560482423023
cdm_premier_covid_v1240,16733,16736,1,4022830212,-0.04205054248834175
cdm_premier_covid_v1240,16733,16736,1,198803212,-0.03838663110195181
cdm_premier_covid_v1240,16733,16736,1,44782429212,0.03809656114741807
cdm_premier_covid_v1240,16733,16736,1,14003,-0.037171645457016414
cdm_premier_covid_v1240,16733,16736,1,4025938212,0.03703252040776302
cdm_premier_covid_v1240,16733,16736,1,4209423212,0.036946760438831924
cdm_premier_covid_v1240,16733,16736,1,40484533212,0.03659369855534826
cdm_premier_covid_v1240,16733,16736,1,4178680212,0.0335790638387032
cdm_premier_covid_v1240,16733,16736,1,8532001,0.032867731849649924
cdm_premier_covid_v1240,16733,16736,1,437827212,0.03277335038703585
cdm_premier_covid_v1240,16733,16736,1,436222212,-0.030966976108638276
cdm_premier_covid_v1240,16733,16736,1,4175297212,-0.02888998733752386
cdm_premier_covid_v1240,16733,16736,1,4129389212,0.026792835501869974
cdm_premier_covid_v1240,16733,16736,1,4170143212,-0.024885114696077612
cdm_premier_covid_v1240,16733,16736,1,4101343212,0.02307587326188816
cdm_premier_covid_v1240,16733,16736,1,4088937212,0.02154549383493285
cdm_premier_covid_v1240,16733,16736,1,11003,0.021463365216048046
cdm_premier_covid_v1240,16733,16736,1,4223659212,-0.0206007847652804
cdm_premier_covid_v1240,16733,16736,1,444108212,-0.019732757780917497
cdm_premier_covid_v1240,16733,16736,1,317009212,0.019447859348620384
cdm_premier_covid_v1240,16733,16736,1,40481841212,-0.018815180672047776
cdm_premier_covid_v1240,16733,16736,1,4201128212,0.018221518425681583
cdm_premier_covid_v1240,16733,16736,1,4080011212,-0.017858670858580634
cdm_premier_covid_v1240,16733,16736,1,37017432212,-0.017723089393168977
cdm_premier_covid_v1240,16733,16736,1,320128212,0.01669823745863326
cdm_premier_covid_v1240,16733,16736,1,4098604212,0.016574813919161907
cdm_premier_covid_v1240,16733,16736,1,42536605212,0.016372017097165653
cdm_premier_covid_v1240,16733,16736,1,31317212,0.015686575185860342
cdm_premier_covid_v1240,16733,16736,1,4138840212,-0.015266212543512294
cdm_premier_covid_v1240,16733,16736,1,9003,0.015067243095949456
cdm_premier_covid_v1240,16733,16736,1,40483111212,-0.013480133467364533
cdm_premier_covid_v1240,16733,16736,1,4009650212,-0.013335953665066973
cdm_premier_covid_v1240,16733,16736,1,196523212,0.012369592811400217
cdm_premier_covid_v1240,16733,16736,1,40481919212,0.011554592775245615
cdm_premier_covid_v1240,16733,16736,1,4041664212,-0.010464131431795299
cdm_premier_covid_v1240,16733,16736,1,37018424212,0.009560023539650454
cdm_premier_covid_v1240,16733,16736,1,4332151212,0.004520980081776706
cdm_premier_covid_v1240,16733,16736,1,4100065212,-0.004087465946063607
cdm_premier_covid_v1240,16733,16736,1,435613212,0.003863021416706865
cdm_premier_covid_v1240,16733,16736,1,321588212,0.003395127708058936
cdm_premier_covid_v1240,16733,16736,1,4013991212,0.0033229926487790256
cdm_premier_covid_v1240,16733,16736,1,4245042212,0.002467899326413441
cdm_premier_covid_v1240,16733,16736,1,4134440212,-0.002443444328854449
cdm_premier_covid_v1240,16733,16736,1,4341650212,-0.001647911489509512
cdm_premier_covid_v1240,16733,16736,1,4209145212,9.785874017225094e-4
cdm_premier_covid_v1240,16733,16736,1,197032212,-8.391480677078124e-4
cdm_premier_covid_v1240,16733,16736,1,443784212,-3.431704849688695e-4
cdm_premier_covid_v1240,16733,16736,1,443732212,-3.057770521436356e-4
cdm_premier_covid_v1240,16733,16736,1,4080146212,2.3077954187756145e-4
cdm_premier_covid_v1240,16733,16736,1,4213310212,-1.845683329951839e-4
cdm_premier_covid_v1240,16733,16736,1,435224212,1.2499054880397612e-4
cdm_premier_covid_v1240,16733,16738,1,5007,1.13742064683798
cdm_premier_covid_v1240,16733,16738,1,201340212,0.9181724195765845
cdm_premier_covid_v1240,16733,16738,1,437390212,-0.7072679413798041
cdm_premier_covid_v1240,16733,16738,1,444094212,0.6304982594690062
cdm_premier_covid_v1240,16733,16738,1,4216316212,0.6110790020774564
cdm_premier_covid_v1240,16733,16738,1,2007,0.5874101067810452
cdm_premier_covid_v1240,16733,16738,1,37311061212,-0.5617470081051364
cdm_premier_covid_v1240,16733,16738,1,4092879212,0.5159375161793649
cdm_premier_covid_v1240,16733,16738,1,31317212,0.5039264454997491
cdm_premier_covid_v1240,16733,16738,1,261326212,-0.4911265822997553
cdm_premier_covid_v1240,16733,16738,1,4158346212,-0.4614640604361149
cdm_premier_covid_v1240,16733,16738,1,200219212,0.44444553489847377
cdm_premier_covid_v1240,16733,16738,1,4116811212,0.41167564157727426
cdm_premier_covid_v1240,16733,16738,1,0,-0.39806818274702843
cdm_premier_covid_v1240,16733,16738,1,4129389212,0.39790953242125704
cdm_premier_covid_v1240,16733,16738,1,4144111212,0.3972227176644081
cdm_premier_covid_v1240,16733,16738,1,440921212,0.3695846456594021
cdm_premier_covid_v1240,16733,16738,1,441408212,0.34041004616861337
cdm_premier_covid_v1240,16733,16738,1,4041664212,-0.33833799160262434
cdm_premier_covid_v1240,16733,16738,1,4134294212,0.3250080951984451
cdm_premier_covid_v1240,16733,16738,1,437833212,0.32492204958113324
cdm_premier_covid_v1240,16733,16738,1,377091212,0.32280388119604403
cdm_premier_covid_v1240,16733,16738,1,443410212,-0.3084192331873579
cdm_premier_covid_v1240,16733,16738,1,44784217212,0.30744323633844556
cdm_premier_covid_v1240,16733,16738,1,4231363212,0.29416499208454944
cdm_premier_covid_v1240,16733,16738,1,3007,0.2907231309800881
cdm_premier_covid_v1240,16733,16738,1,444100212,0.2794445623611403
cdm_premier_covid_v1240,16733,16738,1,432585212,0.2792065884322351
cdm_premier_covid_v1240,16733,16738,1,443916212,-0.2618578367693861
cdm_premier_covid_v1240,16733,16738,1,432739212,-0.2542264942154336
cdm_premier_covid_v1240,16733,16738,1,434610212,-0.253219836800336
cdm_premier_covid_v1240,16733,16738,1,4208662212,-0.2395936328752227
cdm_premier_covid_v1240,16733,16738,1,4233565212,0.23431933040612105
cdm_premier_covid_v1240,16733,16738,1,135333212,0.2334253884636071
cdm_premier_covid_v1240,16733,16738,1,42537748212,0.22989835573484266
cdm_premier_covid_v1240,16733,16738,1,4209423212,0.2087989487647886
cdm_premier_covid_v1240,16733,16738,1,4190185212,0.20681133070030022
cdm_premier_covid_v1240,16733,16738,1,436096212,-0.20466212889214885
cdm_premier_covid_v1240,16733,16738,1,442310212,0.19804755323961937
cdm_premier_covid_v1240,16733,16738,1,4034964212,0.1979909292067066
cdm_premier_covid_v1240,16733,16738,1,4063381212,0.1922072296129563
cdm_premier_covid_v1240,16733,16738,1,4028367212,0.1797969042463634
cdm_premier_covid_v1240,16733,16738,1,43021132212,0.17732707622517838
cdm_premier_covid_v1240,16733,16738,1,44782429212,0.17579139668591484
cdm_premier_covid_v1240,16733,16738,1,17003,-0.17388169089975322
cdm_premier_covid_v1240,16733,16738,1,81902212,0.1686788603585987
cdm_premier_covid_v1240,16733,16738,1,4093780212,0.1565885553385586
cdm_premier_covid_v1240,16733,16738,1,4138840212,-0.15307339766318404
cdm_premier_covid_v1240,16733,16738,1,8532001,0.15209132964741454
cdm_premier_covid_v1240,16733,16738,1,16003,-0.14998559692064245
cdm_premier_covid_v1240,16733,16738,1,435613212,0.14763379418173256
cdm_premier_covid_v1240,16733,16738,1,4150129212,-0.14625317349423078
cdm_premier_covid_v1240,16733,16738,1,435742212,0.14497063241271504
cdm_premier_covid_v1240,16733,16738,1,312437212,-0.1399036136822232
cdm_premier_covid_v1240,16733,16738,1,40484533212,0.13374288622628824
cdm_premier_covid_v1240,16733,16738,1,254761212,-0.129223386429371
cdm_premier_covid_v1240,16733,16738,1,31967212,0.12879099443093225
cdm_premier_covid_v1240,16733,16738,1,4192640212,0.12763723949608302
cdm_premier_covid_v1240,16733,16738,1,441829212,-0.12679540155903504
cdm_premier_covid_v1240,16733,16738,1,432545212,0.12497919724835453
cdm_premier_covid_v1240,16733,16738,1,256451212,0.12358393588119979
cdm_premier_covid_v1240,16733,16738,1,45768910212,-0.11956494000322568
cdm_premier_covid_v1240,16733,16738,1,4145825212,-0.11880418576369875
cdm_premier_covid_v1240,16733,16738,1,196236212,0.11784353852229604
cdm_premier_covid_v1240,16733,16738,1,5003,0.11438664629767159
cdm_premier_covid_v1240,16733,16738,1,4029269212,-0.11332029030266362
cdm_premier_covid_v1240,16733,16738,1,42536605212,0.1044844692948454
cdm_premier_covid_v1240,16733,16738,1,312349212,-0.10444716848925172
cdm_premier_covid_v1240,16733,16738,1,372654212,0.10345080481236237
cdm_premier_covid_v1240,16733,16738,1,4193704212,0.10251133649144228
cdm_premier_covid_v1240,16733,16738,1,195847212,0.10236160733753598
cdm_premier_covid_v1240,16733,16738,1,4006969212,-0.10186730953713559
cdm_premier_covid_v1240,16733,16738,1,37109843212,0.10081832686864935
cdm_premier_covid_v1240,16733,16738,1,261880212,0.09969225124908115
cdm_premier_covid_v1240,16733,16738,1,80502212,-0.09521054823480665
cdm_premier_covid_v1240,16733,16738,1,437113212,-0.09412838285829067
cdm_premier_covid_v1240,16733,16738,1,374009212,0.09002918279684143
cdm_premier_covid_v1240,16733,16738,1,4344497212,0.08764608335116633
cdm_premier_covid_v1240,16733,16738,1,40321716212,0.08580542960117551
cdm_premier_covid_v1240,16733,16738,1,4176946212,-0.08436513810069483
cdm_premier_covid_v1240,16733,16738,1,4098604212,0.08432456493501253
cdm_premier_covid_v1240,16733,16738,1,4028389212,-0.08361423088181465
cdm_premier_covid_v1240,16733,16738,1,4022830212,-0.08285511800291956
cdm_premier_covid_v1240,16733,16738,1,442077212,0.08246666212478425
cdm_premier_covid_v1240,16733,16738,1,4043371212,0.08129598774889575
cdm_premier_covid_v1240,16733,16738,1,4185932212,-0.07828038626036848
cdm_premier_covid_v1240,16733,16738,1,40481841212,-0.07793401607582728
cdm_premier_covid_v1240,16733,16738,1,433595212,0.07641667631398537
cdm_premier_covid_v1240,16733,16738,1,435796212,0.07460582846278896
cdm_premier_covid_v1240,16733,16738,1,439392212,0.0730226114496622
cdm_premier_covid_v1240,16733,16738,1,4181064212,0.072911183621008
cdm_premier_covid_v1240,16733,16738,1,6003,0.07051573612061952
cdm_premier_covid_v1240,16733,16738,1,194087212,-0.07036541107703273
cdm_premier_covid_v1240,16733,16738,1,4182210212,0.07022261286780383
cdm_premier_covid_v1240,16733,16738,1,194990212,-0.06893625153546103
cdm_premier_covid_v1240,16733,16738,1,320128212,0.0643692298733059
cdm_premier_covid_v1240,16733,16738,1,437779212,0.06218572123955507
cdm_premier_covid_v1240,16733,16738,1,140673212,0.051541055740958235
cdm_premier_covid_v1240,16733,16738,1,73553212,-0.050866152416187284
cdm_premier_covid_v1240,16733,16738,1,435875212,0.05060095854389285
cdm_premier_covid_v1240,16733,16738,1,4291005212,-0.05022157691548679
cdm_premier_covid_v1240,16733,16738,1,4132926212,0.04797187502846189
cdm_premier_covid_v1240,16733,16738,1,198803212,-0.04570769975750051
cdm_premier_covid_v1240,16733,16738,1,4266367212,0.04547535548170663
cdm_premier_covid_v1240,16733,16738,1,4004672212,-0.04225955174675349
cdm_premier_covid_v1240,16733,16738,1,253506212,-0.04162113648904705
cdm_premier_covid_v1240,16733,16738,1,8003,0.038987836183880006
cdm_premier_covid_v1240,16733,16738,1,4101343212,0.03874906649911112
cdm_premier_covid_v1240,16733,16738,1,4316083212,0.03790841262870914
cdm_premier_covid_v1240,16733,16738,1,317009212,-0.03694239252807444
cdm_premier_covid_v1240,16733,16738,1,4018852212,-0.03457841320494525
cdm_premier_covid_v1240,16733,16738,1,435839212,0.031298607051767444
cdm_premier_covid_v1240,16733,16738,1,255573212,0.028132791854581753
cdm_premier_covid_v1240,16733,16738,1,4119786212,-0.02554588066714212
cdm_premier_covid_v1240,16733,16738,1,9003,0.024804872502002567
cdm_premier_covid_v1240,16733,16738,1,442588212,-0.024431733705064154
cdm_premier_covid_v1240,16733,16738,1,437663212,-0.024122454431821098
cdm_premier_covid_v1240,16733,16738,1,79864212,0.01840113027513757
cdm_premier_covid_v1240,16733,16738,1,4301699212,0.013491880647142185
cdm_premier_covid_v1240,16733,16738,1,37395564212,-0.011427642348552258
cdm_premier_covid_v1240,16733,16738,1,4201128212,0.010969869680598236
cdm_premier_covid_v1240,16733,16738,1,4068155212,0.01096293497093328
cdm_premier_covid_v1240,16733,16738,1,4277745212,0.010429934880361884
cdm_premier_covid_v1240,16733,16738,1,4134440212,-0.007824217476974381
cdm_premier_covid_v1240,16733,16738,1,435224212,0.007761243423294447
cdm_premier_covid_v1240,16733,16738,1,4187218212,0.006608308135743266
cdm_premier_covid_v1240,16733,16738,1,433736212,0.005718128686369615
cdm_premier_covid_v1240,16733,16738,1,197032212,-0.0052663064139895945
cdm_premier_covid_v1240,16733,16738,1,4013991212,0.004945712513687391
cdm_premier_covid_v1240,16733,16738,1,321052212,-0.004727680971407054
cdm_premier_covid_v1240,16733,16738,1,4175297212,-0.004418690692144521
cdm_premier_covid_v1240,16733,16738,1,438720212,-0.004338191793716474
cdm_premier_covid_v1240,16733,16738,1,40481919212,0.0032068287862149422
cdm_premier_covid_v1240,16733,16738,1,42537730212,0.0017140149824311061
cdm_premier_covid_v1240,16733,16738,1,312339212,0.0011314501526665625
cdm_premier_covid_v1240,16733,16738,1,132797212,0.0011010107882140252
cdm_premier_covid_v1240,16733,16738,1,435515212,9.424855894205801e-4
cdm_premier_covid_v1240,16733,16738,1,4318404212,-5.473467583187141e-4
cdm_premier_covid_v1240,16733,16738,1,443612212,3.525922618775474e-4
cdm_premier_covid_v1240,16733,16738,1,4341650212,-1.6681168274488412e-4
cdm_premier_covid_v1240,16733,16738,1,4306082212,1.2317984435452245e-4
cdm_premier_covid_v1240,16733,16739,1,192671212,-1.2516771718453383
cdm_premier_covid_v1240,16733,16739,1,444094212,0.8250402319554347
cdm_premier_covid_v1240,16733,16739,1,318800212,-0.7140881471453381
cdm_premier_covid_v1240,16733,16739,1,4103703212,-0.637809871636807
cdm_premier_covid_v1240,16733,16739,1,0,0.5521538800967972
cdm_premier_covid_v1240,16733,16739,1,434621212,-0.26448889390244806
cdm_premier_covid_v1240,16733,16739,1,4104000212,-0.260999375875743
cdm_premier_covid_v1240,16733,16739,1,443784212,-0.25328857757502665
cdm_premier_covid_v1240,16733,16739,1,4027369212,-0.19200817867244227
cdm_premier_covid_v1240,16733,16739,1,4027663212,-0.1869341976653103
cdm_premier_covid_v1240,16733,16739,1,444031212,-0.17220610483403287
cdm_premier_covid_v1240,16733,16739,1,436096212,-0.15225353514326667
cdm_premier_covid_v1240,16733,16739,1,4307774212,-0.14709852495885584
cdm_premier_covid_v1240,16733,16739,1,4272240212,-0.14272737322623855
cdm_premier_covid_v1240,16733,16739,1,4193169212,0.13718838505867043
cdm_premier_covid_v1240,16733,16739,1,316139212,-0.1354844881405897
cdm_premier_covid_v1240,16733,16739,1,4030518212,-0.127699063834557
cdm_premier_covid_v1240,16733,16739,1,433163212,-0.12767185343273546
cdm_premier_covid_v1240,16733,16739,1,319049212,-0.1147031574201252
cdm_premier_covid_v1240,16733,16739,1,40481841212,-0.1107127759246057
cdm_premier_covid_v1240,16733,16739,1,442588212,-0.10752289249678519
cdm_premier_covid_v1240,16733,16739,1,4187768212,-0.09929516443155911
cdm_premier_covid_v1240,16733,16739,1,433736212,0.09714800778252299
cdm_premier_covid_v1240,16733,16739,1,437390212,-0.09699184535417528
cdm_premier_covid_v1240,16733,16739,1,4170569212,-0.09208700419712731
cdm_premier_covid_v1240,16733,16739,1,439777212,-0.088865046860719693
cdm_premier_covid_v1240,16733,16739,1,4047791212,0.07772243854520192
cdm_premier_covid_v1240,16733,16739,1,4193990212,-0.07733652843608897
cdm_premier_covid_v1240,16733,16739,1,73553212,-0.07670870418761247
cdm_premier_covid_v1240,16733,16739,1,4080762212,-0.07572272868433315
cdm_premier_covid_v1240,16733,16739,1,4179670212,-0.07121698278147663
cdm_premier_covid_v1240,16733,16739,1,140673212,-0.06974464374155637
cdm_premier_covid_v1240,16733,16739,1,46271075212,-0.06687085821552148
cdm_premier_covid_v1240,16733,16739,1,4144111212,-0.05944808640622891
cdm_premier_covid_v1240,16733,16739,1,261326212,0.057517526209241214
cdm_premier_covid_v1240,16733,16739,1,4063381212,-0.05698440272370095
cdm_premier_covid_v1240,16733,16739,1,2007,-0.05647658748884829
cdm_premier_covid_v1240,16733,16739,1,4185932212,-0.052105734487290764
cdm_premier_covid_v1240,16733,16739,1,4280354212,-0.05080583213653941
cdm_premier_covid_v1240,16733,16739,1,433595212,0.04645156663830795
cdm_premier_covid_v1240,16733,16739,1,437113212,-0.037577426052107996
cdm_premier_covid_v1240,16733,16739,1,197032212,-0.03648846341431046
cdm_premier_covid_v1240,16733,16739,1,4132090212,-0.033877013758094474
cdm_premier_covid_v1240,16733,16739,1,8003,0.03357911009668942
cdm_premier_covid_v1240,16733,16739,1,4182210212,0.03314655231987743
cdm_premier_covid_v1240,16733,16739,1,198803212,-0.03164597937749865
cdm_premier_covid_v1240,16733,16739,1,257004212,-0.025916908387473202
cdm_premier_covid_v1240,16733,16739,1,4176946212,-0.022535758091883074
cdm_premier_covid_v1240,16733,16739,1,4013074212,-0.02104695172680856
cdm_premier_covid_v1240,16733,16739,1,192359212,-0.020508624820380402
cdm_premier_covid_v1240,16733,16739,1,4087640212,-0.01998734355399299
cdm_premier_covid_v1240,16733,16739,1,8507001,0.01844958662907893
cdm_premier_covid_v1240,16733,16739,1,4042074212,0.017845412496021923
cdm_premier_covid_v1240,16733,16739,1,313217212,-0.017591741053585526
cdm_premier_covid_v1240,16733,16739,1,14003,-0.017567941417880317
cdm_premier_covid_v1240,16733,16739,1,316866212,-0.017328718499313195
cdm_premier_covid_v1240,16733,16739,1,261880212,0.017089060964256733
cdm_premier_covid_v1240,16733,16739,1,435515212,0.016963684512753954
cdm_premier_covid_v1240,16733,16739,1,4101343212,-0.012806343864328839
cdm_premier_covid_v1240,16733,16739,1,254761212,0.01175593318054146
cdm_premier_covid_v1240,16733,16739,1,132797212,0.011478360661576998
cdm_premier_covid_v1240,16733,16739,1,4009650212,-0.00666662592183482
cdm_premier_covid_v1240,16733,16739,1,4004672212,-0.0046344060791765835
cdm_premier_covid_v1240,16733,16739,1,4028244212,-0.004618684676414768
cdm_premier_covid_v1240,16733,16739,1,3007,0.004461979278261572
cdm_premier_covid_v1240,16733,16739,1,438485212,-0.0026836333749197696
cdm_premier_covid_v1240,16733,16739,1,4013842212,-1.3515198254417948e-4
cdm_premier_covid_v1240,16761,16762,1,317009212,-1.343851563571529
cdm_premier_covid_v1240,16761,16762,1,257004212,-0.3225752378668505
cdm_premier_covid_v1240,16761,16762,1,252662212,-0.272837823455656
cdm_premier_covid_v1240,16761,16762,1,255573212,-0.237363203814248
cdm_premier_covid_v1240,16761,16762,1,4329041212,0.18477416774938554
cdm_premier_covid_v1240,16761,16762,1,437390212,-0.17416837036799807
cdm_premier_covid_v1240,16761,16762,1,444100212,0.12895052037706028
